commune_fr;commune_ar;quartier_fr;quartier_ar;statut
Bologhine;بولوغين;Rampe Louni Arezki;منحدر لوني أرزقي;verifie
Bologhine;بولوغين;Notre-Dame d'Afrique;السيدة الإفريقية;verifie
Bologhine;بولوغين;Port de Pêche;ميناء الصيد;a_valider
Bologhine;بولوغين;Front de Mer;الواجهة البحرية;a_valider
Bologhine;بولوغين;Les Dunes;الكثبان الرملية;a_valider
Casbah;القصبة;Casbah Centre;القصبة – الوسط;verifie
Casbah;القصبة;Haute Casbah;القصبة العليا;verifie
Casbah;القصبة;Basse Casbah;القصبة السفلى;verifie
Casbah;القصبة;Souk El Djemaa;سوق الجمعة;verifie
Casbah;القصبة;Palais des Raïs;قصر الرياس;verifie
Casbah;القصبة;Ketchaoua;كتشاوة;verifie
Casbah;القصبة;Sidi Ramdane;سيدي رمضان;verifie
Casbah;القصبة;Djamaâ El Kebir;الجامع الكبير;verifie
Casbah;القصبة;Bab Djedid;باب جديد;verifie
Casbah;القصبة;Bab El Bhar;باب البحر;verifie
Casbah;القصبة;Bab Azzoun;باب عزون;verifie
Oued Koriche;وادي قريش;Oued Koriche Centre;وادي قريش – الوسط;verifie
Oued Koriche;وادي قريش;Beau Fraisier;بوفريزيي;verifie
Oued Koriche;وادي قريش;Beau Séjour;بوسيجور;verifie
Oued Koriche;وادي قريش;Fontaine Fraîche;العين الباردة;verifie
Oued Koriche;وادي قريش;Les Sources;العيون;a_valider
Oued Koriche;وادي قريش;Cité Ben Badis;حي ابن باديس;a_valider
Oued Koriche;وادي قريش;Cité Sonelgaz;حي سونلغاز;a_valider
Oued Koriche;وادي قريش;La Montagne;الجبل;a_valider
Oued Koriche;وادي قريش;Cité des 200 Logements;حي 200 مسكن;a_valider
Raïs Hamidou;رايس حميدو;Raïs Hamidou Centre;رايس حميدو – الوسط;verifie
Raïs Hamidou;رايس حميدو;Miramar;ميرامار;verifie
Raïs Hamidou;رايس حميدو;La Pointe;لابوانت;verifie
Raïs Hamidou;رايس حميدو;Front de Mer;الواجهة البحرية;a_valider
Raïs Hamidou;رايس حميدو;Port de pêche;ميناء الصيد;a_valider
Raïs Hamidou;رايس حميدو;Quartier des Villas;حي الفيلات;a_valider
Raïs Hamidou;رايس حميدو;Plage Raïs Hamidou;شاطئ رايس حميدو;verifie
Raïs Hamidou;رايس حميدو;La Corniche;الكورنيش;verifie
Bir Mourad Raïs;بئر مراد رايس;Bir Mourad Raïs Centre;بئر مراد رايس – الوسط;verifie
Bir Mourad Raïs;بئر مراد رايس;Saïd Hamdine;سعيد حمدين;verifie
Bir Mourad Raïs;بئر مراد رايس;Les Sources;العيون;a_valider
Bir Mourad Raïs;بئر مراد رايس;Cité AADL;حي عدل;a_valider
Bir Mourad Raïs;بئر مراد رايس;Cité des 448 Logements;حي 448 مسكن;a_valider
Bir Mourad Raïs;بئر مراد رايس;Coopérative El Bina;تعاونية البناء;a_valider
Bir Mourad Raïs;بئر مراد رايس;Les Vergers;البساتين;a_valider
Bir Mourad Raïs;بئر مراد رايس;Les Pins;الصنوبر;a_valider
Bir Mourad Raïs;بئر مراد رايس;Les Crêtes;المرتفعات;a_valider
Hydra;حيدرة;Hydra Centre;حيدرة – الوسط;verifie
Hydra;حيدرة;Sidi Yahia;سيدي يحيى;verifie
Hydra;حيدرة;Paradou;بارادو;verifie
Hydra;حيدرة;Djenane El Malik;جنان المالك;verifie
Hydra;حيدرة;La Résidence;الإقامة;verifie
Hydra;حيدرة;Cité des Pins;حي الصنوبر;a_valider
Hydra;حيدرة;Chemin Mackley;طريق ماكلي;verifie
Hydra;حيدرة;Chemin Poirson;طريق بوارصون;verifie
Hydra;حيدرة;Parc des Pins;حديقة الصنوبر;verifie
Kouba;القبة;Kouba Centre;القبة – الوسط;verifie
Kouba;القبة;Vieux Kouba;القبة القديمة;verifie
Kouba;القبة;Ben Omar;بن عمر;verifie
Kouba;القبة;Garidi;قاريدي;verifie
Kouba;القبة;Jolie Vue;جولي فو;verifie
Kouba;القبة;El Annasser;العناصر;verifie
Kouba;القبة;Cité du 8 Mai 1945;حي 8 ماي 1945;a_valider
Kouba;القبة;Cité Sonelgaz;حي سونلغاز;a_valider
Kouba;القبة;Cité Benboulaïd;حي بن بولعيد;a_valider
Kouba;القبة;Coopérative El Bahia;تعاونية الباهية;a_valider
Kouba;القبة;Les Sources;العيون;a_valider
Kouba;القبة;Cité AADL Garidi;حي عدل قاريدي;a_valider
Kouba;القبة;La Croix;لاكروا;a_valider
Kouba;القبة;Quatre Chemins;أربع طرق;verifie
Kouba;القبة;Cité Filali;حي فيلالي;verifie
Kouba;القبة;Kouba village;قوبة القرية;verifie
Birkhadem;بئر خادم;Birkhadem Centre;بئر خادم – الوسط;verifie
Birkhadem;بئر خادم;Sidi M'Barek;سيدي مبارك;verifie
Birkhadem;بئر خادم;Djenane Sfari;جنان سفاري;verifie
Birkhadem;بئر خادم;Cité AADL;حي عدل;a_valider
Birkhadem;بئر خادم;Haï El Badr;حي البدر;a_valider
Birkhadem;بئر خادم;Cité des 500 Logements;حي 500 مسكن;a_valider
Birkhadem;بئر خادم;El Qods;القدس;a_valider
Birkhadem;بئر خادم;Saïd Hamdine Sud;سعيد حمدين الجنوبية;a_valider
Birkhadem;بئر خادم;Sidi Messaoud;سيدي مسعود;a_valider
Djasr Kasentina;جسر قسنطينة;Djasr Kasentina Centre;جسر قسنطينة – الوسط;verifie
Djasr Kasentina;جسر قسنطينة;Aïn Naâdja;عين النعجة;verifie
Djasr Kasentina;جسر قسنطينة;Cité des 700 Logements;حي 700 مسكن;a_valider
Djasr Kasentina;جسر قسنطينة;Cité AADL;حي عدل;a_valider
Djasr Kasentina;جسر قسنطينة;Les Sources;العيون;a_valider
Djasr Kasentina;جسر قسنطينة;Haï El Badr;حي البدر;a_valider
Djasr Kasentina;جسر قسنطينة;Les Vergers;البساتين;a_valider
Djasr Kasentina;جسر قسنطينة;Coopérative El Wiam;تعاونية الوئام;a_valider
Djasr Kasentina;جسر قسنطينة;Les Arcades;الأروقة;a_valider
Saoula;السحاولة;Saoula Centre;السحاولة – الوسط;verifie
Saoula;السحاولة;Haï El Badr;حي البدر;a_valider
Saoula;السحاولة;Cité AADL;حي عدل;a_valider
Saoula;السحاولة;Les Vergers;البساتين;a_valider
Saoula;السحاولة;Coopérative El Wiam;تعاونية الوئام;a_valider
Saoula;السحاولة;Les Sources;العيون;a_valider
Saoula;السحاولة;Zone agricole;المنطقة الفلاحية;a_valider
Saoula;السحاولة;Quartier des Villas;حي الفيلات;a_valider
Saoula;السحاولة;Les Jardins;الحدائق;a_valider
Birtouta;بئر توتة;Birtouta Centre;بئر توتة – الوسط;verifie
Birtouta;بئر توتة;Haï El Feth;حي الفتح;a_valider
Birtouta;بئر توتة;Cité AADL;حي عدل;a_valider
Birtouta;بئر توتة;Les Vergers;البساتين;a_valider
Birtouta;بئر توتة;Zone Industrielle;المنطقة الصناعية;a_valider
Birtouta;بئر توتة;Les Sources;العيون;a_valider
Birtouta;بئر توتة;Coopérative El Wiam;تعاونية الوئام;a_valider
Birtouta;بئر توتة;Quartier de la Gare;حي المحطة;a_valider
Ouled Chebel;أولاد شبل;Ouled Chebel Centre;أولاد شبل – الوسط;verifie
Ouled Chebel;أولاد شبل;Sidi Slimane;سيدي سليمان;a_valider
Ouled Chebel;أولاد شبل;Douar Ouled Chebel;دوار أولاد شبل;a_valider
Ouled Chebel;أولاد شبل;Haï El Feth;حي الفتح;a_valider
Ouled Chebel;أولاد شبل;Zone agricole;المنطقة الفلاحية;a_valider
Ouled Chebel;أولاد شبل;Cité AADL;حي عدل;a_valider
Ouled Chebel;أولاد شبل;Les Vergers;البساتين;a_valider
Ouled Chebel;أولاد شبل;Les Fermes;المزارع;a_valider
Tessala El Merdja;تسالة المرجة;Tessala El Merdja Centre;تسالة المرجة – الوسط;verifie
Tessala El Merdja;تسالة المرجة;El Merdja;المرجة;a_valider
Tessala El Merdja;تسالة المرجة;Haï El Feth;حي الفتح;a_valider
Tessala El Merdja;تسالة المرجة;Zone agricole;المنطقة الفلاحية;a_valider
Tessala El Merdja;تسالة المرجة;Les Vergers;البساتين;a_valider
Tessala El Merdja;تسالة المرجة;Cité AADL;حي عدل;a_valider
Tessala El Merdja;تسالة المرجة;Les Fermes;المزارع;a_valider
Tessala El Merdja;تسالة المرجة;Douar Tessala;دوار تسالة;a_valider
Dar El Beïda;الدار البيضاء;Dar El Beïda Centre;الدار البيضاء – الوسط;verifie
Dar El Beïda;الدار البيضاء;Haï El Djorf;حي الجرف;a_valider
Dar El Beïda;الدار البيضاء;Cité des 620 Logements;حي 620 مسكن;a_valider
Dar El Beïda;الدار البيضاء;Cité des 200 Logements;حي 200 مسكن;a_valider
Dar El Beïda;الدار البيضاء;Cité des 900 Logements;حي 900 مسكن;a_valider
Dar El Beïda;الدار البيضاء;Cité Sonelgaz;حي سونلغاز;a_valider
Dar El Beïda;الدار البيضاء;Cité des Frères Saadane;حي الإخوة سعدان;a_valider
Dar El Beïda;الدار البيضاء;Quartier de la Gare;حي المحطة;a_valider
Dar El Beïda;الدار البيضاء;Zone Aéroportuaire;المنطقة المطارية;verifie
Dar El Beïda;الدار البيضاء;Zone Industrielle;المنطقة الصناعية;a_valider
Bordj El Kiffan;برج الكيفان;Bordj El Kiffan Centre;برج الكيفان – الوسط;verifie
Bordj El Kiffan;برج الكيفان;Fort de l'Eau;فور دو لو;verifie
Bordj El Kiffan;برج الكيفان;Lido;ليدو;verifie
Bordj El Kiffan;برج الكيفان;La Pêcherie;لابيشري;verifie
Bordj El Kiffan;برج الكيفان;Cité des Dunes;حي الكثبان;a_valider
Bordj El Kiffan;برج الكيفان;Cité des Palmiers;حي النخيل;a_valider
Bordj El Kiffan;برج الكيفان;Tamaris;تاماريس;verifie
Bordj El Kiffan;برج الكيفان;Plage Lido;شاطئ ليدو;verifie
Bordj El Kiffan;برج الكيفان;Coopérative El Manar;تعاونية المنار;a_valider
Bab Ezzouar;باب الزوار;Bab Ezzouar Centre;باب الزوار – الوسط;verifie
Bab Ezzouar;باب الزوار;Cité 5 Juillet;حي 5 جويلية;verifie
Bab Ezzouar;باب الزوار;Cité 8 Mai 1945;حي 8 ماي 1945;verifie
Bab Ezzouar;باب الزوار;Cité Universitaire;الحي الجامعي;a_valider
Bab Ezzouar;باب الزوار;USTHB;جامعة هواري بومدين;verifie
Bab Ezzouar;باب الزوار;Quartier d'Affaires;حي الأعمال;verifie
Bab Ezzouar;باب الزوار;Cité EPLF;حي الترقية العقارية;a_valider
Bab Ezzouar;باب الزوار;Cité 416 Logements;حي 416 مسكن;a_valider
Bab Ezzouar;باب الزوار;Cité des Bananiers;حي الموز;a_valider
Bab Ezzouar;باب الزوار;Haï El Djamia;حي الجامعة;a_valider
Bab Ezzouar;باب الزوار;Zone d'Activités;منطقة النشاطات;a_valider
Bab Ezzouar;باب الزوار;Centre Commercial Bab Ezzouar;المركز التجاري باب الزوار;verifie
Bordj El Bahri;برج البحري;Bordj El Bahri Centre;برج البحري – الوسط;verifie
Bordj El Bahri;برج البحري;Alger Plage;شاطئ الجزائر;verifie
Bordj El Bahri;برج البحري;Surcouf;سوركوف;verifie
Bordj El Bahri;برج البحري;La Verte Rive;الضفة الخضراء;verifie
Bordj El Bahri;برج البحري;Cité des Sables;حي الرمال;a_valider
Bordj El Bahri;برج البحري;Les Pins Maritimes Est;الصنوبر البحري الشرقي;a_valider
Bordj El Bahri;برج البحري;Quartier des Villas;حي الفيلات;a_valider
Bordj El Bahri;برج البحري;Front de Mer;الواجهة البحرية;a_valider
Aïn Taya;عين طاية;Aïn Taya Centre;عين طاية – الوسط;verifie
Aïn Taya;عين طاية;Haï El Bahri;الحي البحري;a_valider
Aïn Taya;عين طاية;Caroubier Est;الخروبة الشرقية;a_valider
Aïn Taya;عين طاية;Plage de Surcouf;شاطئ سوركوف;verifie
Aïn Taya;عين طاية;La Verte Rive;الضفة الخضراء;verifie
Aïn Taya;عين طاية;Cité des Villas;حي الفيلات;a_valider
Aïn Taya;عين طاية;El Kadous;القادوس;a_valider
Aïn Taya;عين طاية;Quartier de la Gare;حي المحطة;a_valider
El Marsa;المرسى;El Marsa Centre;المرسى – الوسط;verifie
El Marsa;المرسى;Jean Bart;جان بار;verifie
El Marsa;المرسى;Petit Port;الميناء الصغير;verifie
El Marsa;المرسى;Port de pêche;ميناء الصيد;a_valider
El Marsa;المرسى;Front de mer;الواجهة البحرية;a_valider
El Marsa;المرسى;Les Villas;الفيلات;a_valider
El Marsa;المرسى;Plage El Marsa;شاطئ المرسى;verifie
El Marsa;المرسى;Cité AADL;حي عدل;a_valider
Héraoua;هراوة;Héraoua Centre;هراوة – الوسط;verifie
Héraoua;هراوة;Douar Héraoua;دوار هراوة;a_valider
Héraoua;هراوة;Haï El Feth;حي الفتح;a_valider
Héraoua;هراوة;Zone agricole;المنطقة الفلاحية;a_valider
Héraoua;هراوة;Les Vergers;البساتين;a_valider
Héraoua;هراوة;Cité AADL;حي عدل;a_valider
Héraoua;هراوة;Littoral Est;الساحل الشرقي;a_valider
Héraoua;هراوة;Les Fermes;المزارع;a_valider
Rouiba;الرويبة;Rouiba Centre;الرويبة – الوسط;verifie
Rouiba;الرويبة;Cité SNVI;حي SNVI;a_valider
Rouiba;الرويبة;Cité Sonacome;حي سوناكوم;a_valider
Rouiba;الرويبة;Cité 1er Novembre;حي أول نوفمبر;a_valider
Rouiba;الرويبة;Cité EPLF;حي الترقية العقارية;a_valider
Rouiba;الرويبة;Zone Industrielle de Rouiba;المنطقة الصناعية الرويبة;verifie
Rouiba;الرويبة;Les Vergers;البساتين;a_valider
Rouiba;الرويبة;El Hamiz;الحميز;verifie
Rouiba;الرويبة;Haï El Feth;حي الفتح;a_valider
Rouiba;الرويبة;Coopérative Ennasr;تعاونية النصر;a_valider
Réghaïa;رغاية;Réghaïa Centre;رغاية – الوسط;verifie
Réghaïa;رغاية;Haï El Feth;حي الفتح;a_valider
Réghaïa;رغاية;Cité EPLF;حي الترقية العقارية;a_valider
Réghaïa;رغاية;Cité AADL;حي عدل;a_valider
Réghaïa;رغاية;Cité 1200 Logements;حي 1200 مسكن;a_valider
Réghaïa;رغاية;Lac de Réghaïa;بحيرة رغاية;verifie
Réghaïa;رغاية;Zone Industrielle;المنطقة الصناعية;a_valider
Réghaïa;رغاية;Les Vergers;البساتين;a_valider
Réghaïa;رغاية;Quartier Agricole;الحي الفلاحي;a_valider
Hussein Dey;حسين داي;Hussein Dey Centre;حسين داي – الوسط;verifie
Hussein Dey;حسين داي;Amirouche;عميروش;verifie
Hussein Dey;حسين داي;La Glacière;لاقلاصيار;verifie
Hussein Dey;حسين داي;Caroubier;الخروبة;verifie
Hussein Dey;حسين داي;Cité Amirouche;حي عميروش;a_valider
Hussein Dey;حسين داي;La Montagne;الجبل;a_valider
Hussein Dey;حسين داي;Quartier du Stade;حي الملعب;verifie
Hussein Dey;حسين داي;Ruisseau;الرويسو;a_valider
Hussein Dey;حسين داي;Cité des Eucalyptus;حي الكاليتوس;a_valider
El Magharia;المغارية;El Magharia Centre;المغارية – الوسط;verifie
El Magharia;المغارية;Leveilley;لوفيلي;verifie
El Magharia;المغارية;Haï El Badr;حي البدر;a_valider
El Magharia;المغارية;Cité Sonelgaz;حي سونلغاز;a_valider
Mohammadia;المحمدية;Mohammadia Centre;المحمدية – الوسط;verifie
Mohammadia;المحمدية;Lavigerie;لافيجري;verifie
Mohammadia;المحمدية;Les Pins Maritimes;الصنوبر البحري;verifie
Mohammadia;المحمدية;SAFEX;قصر المعارض SAFEX;verifie
Mohammadia;المحمدية;Cité des Bananiers;حي الموز;a_valider
Mohammadia;المحمدية;Caroubier Est;الخروبة الشرقية;a_valider
Mohammadia;المحمدية;Zone Industrielle;المنطقة الصناعية;a_valider
Mohammadia;المحمدية;Front de Mer;الواجهة البحرية;a_valider
Bachdjerrah;باش جراح;Bachdjerrah Centre;باش جراح – الوسط;verifie
Bachdjerrah;باش جراح;Les Orangers;حي البرتقال;verifie
Bachdjerrah;باش جراح;Cité des 200 Logements;حي 200 مسكن;a_valider
Bachdjerrah;باش جراح;Cité AADL;حي عدل;a_valider
Bachdjerrah;باش جراح;Cité Sonelgaz;حي سونلغاز;a_valider
Bachdjerrah;باش جراح;Haï El Badr;حي البدر;a_valider
Bachdjerrah;باش جراح;La Concorde;لاكونكورد;a_valider
Bachdjerrah;باش جراح;Coopérative Ennasr;تعاونية النصر;a_valider
Bouzaréah;بوزريعة;Bouzaréah Centre;بوزريعة – الوسط;verifie
Bouzaréah;بوزريعة;Beau-Fraisier;بوفريزيي;verifie
Bouzaréah;بوزريعة;Frais Vallon;فري فالون;verifie
Bouzaréah;بوزريعة;Université de Bouzaréah;جامعة بوزريعة;verifie
Bouzaréah;بوزريعة;Cité Universitaire;الحي الجامعي;a_valider
Bouzaréah;بوزريعة;Les Crêtes;المرتفعات;a_valider
Bouzaréah;بوزريعة;Haï El Badr;حي البدر;a_valider
Bouzaréah;بوزريعة;Les Oliviers;الزياتين;a_valider
Beni Messous;بني مسوس;Beni Messous Centre;بني مسوس – الوسط;verifie
Beni Messous;بني مسوس;CHU Beni Messous;المستشفى الجامعي بني مسوس;verifie
Beni Messous;بني مسوس;Cité AADL;حي عدل;a_valider
Beni Messous;بني مسوس;Cité EPLF;حي الترقية العقارية;a_valider
Beni Messous;بني مسوس;Les Vergers;البساتين;a_valider
Beni Messous;بني مسوس;El Kerma;الكرمة;a_valider
Beni Messous;بني مسوس;Coopérative El Wiam;تعاونية الوئام;a_valider
Beni Messous;بني مسوس;Haï El Feth;حي الفتح;a_valider
Beni Messous;بني مسوس;Quartier Universitaire;الحي الجامعي;a_valider
Dely Ibrahim;دالي إبراهيم;Dely Ibrahim Centre;دالي إبراهيم – الوسط;verifie
Dely Ibrahim;دالي إبراهيم;Cité AADL;حي عدل;a_valider
Dely Ibrahim;دالي إبراهيم;Cité Diplomatique;الحي الدبلوماسي;a_valider
Dely Ibrahim;دالي إبراهيم;Cité des Magistrats;حي القضاة;a_valider
Dely Ibrahim;دالي إبراهيم;Les Sources;العيون;a_valider
Dely Ibrahim;دالي إبراهيم;Quartier des Villas;حي الفيلات;a_valider
Dely Ibrahim;دالي إبراهيم;École Supérieure d'Hôtellerie;المدرسة العليا للفندقة;verifie
Dely Ibrahim;دالي إبراهيم;Pôle Universitaire;القطب الجامعي;a_valider
Dely Ibrahim;دالي إبراهيم;Cité des Bananiers;حي الموز;a_valider
Dely Ibrahim;دالي إبراهيم;Lotissement communal;التجزئة البلدية;verifie
Dely Ibrahim;دالي إبراهيم;Plateau Dely Ibrahim;هضبة دالي إبراهيم;verifie
El Biar;الأبيار;El Biar Centre;الأبيار – الوسط;verifie
El Biar;الأبيار;Poirson;بوارصون;verifie
El Biar;الأبيار;La Redoute;لارودوت;verifie
El Biar;الأبيار;Beau Séjour;بوسيجور;verifie
El Biar;الأبيار;El Kettar;القطار;verifie
El Biar;الأبيار;Les Glycines;لي قليسين;verifie
El Biar;الأبيار;Val d'Hydra;فال ديدرا;a_valider
El Biar;الأبيار;Clos des Pins;كلو دي بان;a_valider
El Biar;الأبيار;Cité des Enseignants;حي الأساتذة;a_valider
Ben Aknoun;بن عكنون;Ben Aknoun Centre;بن عكنون – الوسط;verifie
Ben Aknoun;بن عكنون;Cité Malki;حي مالكي;a_valider
Ben Aknoun;بن عكنون;Université de Ben Aknoun;جامعة بن عكنون;verifie
Ben Aknoun;بن عكنون;Forêt de Ben Aknoun;غابة بن عكنون;verifie
Ben Aknoun;بن عكنون;Les Résidences;الإقامات;a_valider
Ben Aknoun;بن عكنون;Coopérative El Wiam;تعاونية الوئام;a_valider
Ben Aknoun;بن عكنون;Cité Diplomatique;الحي الدبلوماسي;a_valider
Ben Aknoun;بن عكنون;Les Pins;الصنوبر;a_valider
Ben Aknoun;بن عكنون;Haï des Fonctionnaires;حي الموظفين;a_valider
Cheraga;الشراقة;Cheraga Centre;الشراقة – الوسط;verifie
Cheraga;الشراقة;Cité AADL;حي عدل;a_valider
Cheraga;الشراقة;Cité EPLF;حي الترقية العقارية;a_valider
Cheraga;الشراقة;Les Vergers;البساتين;a_valider
Cheraga;الشراقة;Djenane El Kheir;جنان الخير;a_valider
Cheraga;الشراقة;Haï El Badr;حي البدر;a_valider
Cheraga;الشراقة;Cité des 200 Logements;حي 200 مسكن;a_valider
Cheraga;الشراقة;Coopérative El Wiam;تعاونية الوئام;a_valider
Cheraga;الشراقة;Les Sources;العيون;a_valider
Cheraga;الشراقة;Les Résidences;الإقامات;a_valider
Cheraga;الشراقة;Quartier des Villas;حي الفيلات;a_valider
Ouled Fayet;أولاد فايت;Ouled Fayet Centre;أولاد فايت – الوسط;verifie
Ouled Fayet;أولاد فايت;Cité AADL;حي عدل;a_valider
Ouled Fayet;أولاد فايت;Cité EPLF;حي الترقية العقارية;a_valider
Ouled Fayet;أولاد فايت;Coopérative El Bahia;تعاونية الباهية;a_valider
Ouled Fayet;أولاد فايت;Haï El Feth;حي الفتح;a_valider
Ouled Fayet;أولاد فايت;Quartier des Villas;حي الفيلات;a_valider
Ouled Fayet;أولاد فايت;Les Jardins;الحدائق;a_valider
Ouled Fayet;أولاد فايت;Les Vergers;البساتين;a_valider
Ouled Fayet;أولاد فايت;Djenane El Kheir;جنان الخير;a_valider
Ouled Fayet;أولاد فايت;Les Terrasses;المصاطب;a_valider
Draria;درارية;Draria Centre;درارية – الوسط;verifie
Draria;درارية;Sebbala;السبالة;a_valider
Draria;درارية;Cité AADL;حي عدل;a_valider
Draria;درارية;Cité EPLF;حي الترقية العقارية;a_valider
Draria;درارية;Cité des 400 Logements;حي 400 مسكن;a_valider
Draria;درارية;Les Vergers;البساتين;a_valider
Draria;درارية;Haï El Badr;حي البدر;a_valider
Draria;درارية;Les Sources;العيون;a_valider
Draria;درارية;Coopérative El Wiam;تعاونية الوئام;a_valider
El Achour;العاشور;El Achour Centre;العاشور – الوسط;verifie
El Achour;العاشور;Les Arcades;الأروقة;a_valider
El Achour;العاشور;Sebbala;السبالة;a_valider
El Achour;العاشور;Cité AADL;حي عدل;a_valider
El Achour;العاشور;Cité EPLF;حي الترقية العقارية;a_valider
El Achour;العاشور;Coopérative El Bahia;تعاونية الباهية;a_valider
El Achour;العاشور;Haï El Feth;حي الفتح;a_valider
El Achour;العاشور;Les Villas;الفيلات;a_valider
El Achour;العاشور;Les Vergers;البساتين;a_valider
El Achour;العاشور;Djenane El Kheir;جنان الخير;a_valider
Souidania;سويدانية;Souidania Centre;سويدانية – الوسط;verifie
Souidania;سويدانية;Haï El Feth;حي الفتح;a_valider
Souidania;سويدانية;Les Vergers;البساتين;a_valider
Souidania;سويدانية;Les Jardins;الحدائق;a_valider
Souidania;سويدانية;Cité AADL;حي عدل;a_valider
Souidania;سويدانية;Coopérative El Wiam;تعاونية الوئام;a_valider
Souidania;سويدانية;Quartier des Villas;حي الفيلات;a_valider
Souidania;سويدانية;Les Terrasses;المصاطب;a_valider
Mahelma;محالمة;Mahelma Centre;محالمة – الوسط;verifie
Mahelma;محالمة;Douar Mahelma;دوار محالمة;a_valider
Mahelma;محالمة;Haï El Feth;حي الفتح;a_valider
