CARTE DE ROUTAGE DES CATÉGORIES DE SIGNALEMENT
Générée le 2026-07-24 depuis la base de données (post-migration 060)

cat_id | libellé                                  | domaine     | direction pilote                               | exécutant (EPIC/direction)
    49 | Banc / abri bus dégradé                  | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    51 | Panneau / affichage endommagé            | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    50 | Poubelle publique manquante ou cassée    | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    48 | Autre nuisance                           | general     | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    45 | Bruit excessif                           | general     | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    47 | Nuisibles                                | general     | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    46 | Pollution de l'air / fumées              | general     | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
     7 | Autre propreté                           | proprete    | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
     2 | Benne pleine ou débordante               | proprete    | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    17 | Décharge sauvage                         | proprete    | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
     1 | Dépôt sauvage                            | proprete    | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
     3 | Encombrants sur la voie publique         | proprete    | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
     4 | Tags ou graffitis                        | proprete    | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    64 | Autre danger                             | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    63 | Câble / fil électrique au sol            | general     | Direction de l'Éclairage public                | ERMA — Établissement public de Réalisation e
    62 | Mur / structure menaçant de s'effondrer  | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    61 | Trou / excavation non protégé            | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    35 | Autre stationnement                      | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    33 | Place PMR non respectée                  | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    16 | Stationnement gênant ou anarchique       | proprete    | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    34 | Zone à réguler                           | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    53 | Arrêt de bus sans abri / dégradé         | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    56 | Autre transport                          | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    55 | Passage piéton effacé / dangereux        | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    54 | Signalisation routière manquante         | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    31 | Autre voirie                             | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
     5 | Chaussée dégradée                        | proprete    | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    30 | Feu tricolore en panne                   | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    29 | Signalisation manquante ou endommagée    | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    28 | Trottoir dégradé ou inaccessible         | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
